Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City
226-31-3081,C,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,08/03/2019,10:29,Cash,9.6,Yangon
631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/2019,13:23,Credit card,7.4,Yangon
123-19-1176,A,Normal,Male,Health and beauty,58.22,8,12.18075,489.048,27/01/2019,20:30,Ewallet,8.4,Yangon
373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,08/02/2019,10:37,Ewallet,5.3,Yangon
699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,25/03/2019,18:30,Ewallet,4.1,Yangon
355-53-5943,A,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,25/02/2019,14:36,Ewallet,5.8,Yangon
315-22-5665,C,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,24/02/2019,11:38,Ewallet,8,Yangon
665-32-9167,A,Normal,Male,Health and beauty,36.26,2,12.18075,76.146,10/01/2019,17:15,Credit card,7.2,Yangon
692-92-5582,B,Normal,Male,Food and beverages,54.84,3,8.226,172.746,20/02/2019,13:27,Credit card,5.9,Mandalay
351-62-0822,B,Normal,Male,Fashion accessories,14.48,4,2.896,60.816,06/02/2019,18:07,Ewallet,4.5,Mandalay
529-56-3974,B,Normal,Male,Electronic accessories,25.51,4,5.102,107.142,09/03/2019,17:03,Cash,6.8,Mandalay
365-64-0515,A,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,12/02/2019,10:25,Ewallet,7.1,Yangon
252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,07/02/2019,16:48,Ewallet,8.2,Yangon
299-46-1805,B,Normal,Male,Sports and travel,93.72,6,28.116,590.436,15/01/2019,16:19,Cash,4.5,Mandalay
656-95-9349,A,Normal,Male,Health and beauty,68.93,7,24.1255,506.6355,11/03/2019,11:03,Credit card,4.6,Yangon
765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,01/01/2019,10:39,Credit card,6.9,Yangon
